Time,Moisture (%)
2024-12-09 14:23:20,527,95
2024-12-09 14:23:21,527,95
2024-12-09 14:23:22,527,95
2024-12-09 14:23:23,527,95
2024-12-09 14:23:24,528,94
2024-12-09 14:23:25,527,95
2024-12-09 14:23:26,527,95
2024-12-09 14:23:27,527,95
2024-12-09 14:23:28,527,95
2024-12-09 14:23:29,527,95
2024-12-09 14:23:30,527,95
2024-12-09 14:23:31,527,95
2024-12-09 14:23:32,527,95
2024-12-09 14:23:33,527,95
2024-12-09 14:23:34,527,95
2024-12-09 14:23:35,527,95
2024-12-09 14:23:36,527,95
2024-12-09 14:23:37,527,95
2024-12-09 14:23:38,527,95
2024-12-09 14:23:39,527,95
2024-12-09 14:23:40,527,95
2024-12-09 14:23:41,527,95
2024-12-09 14:23:42,527,95
2024-12-09 14:23:43,528,94
2024-12-09 14:23:44,527,95
2024-12-09 14:23:45,527,95
2024-12-09 14:23:46,527,95
2024-12-09 14:23:47,527,95
2024-12-09 14:23:48,527,95
2024-12-09 14:23:49,527,95
2024-12-09 14:23:50,527,95
2024-12-09 14:23:51,527,95
2024-12-09 14:23:52,527,95
2024-12-09 14:23:53,527,95
2024-12-09 14:23:54,527,95
2024-12-09 14:23:55,527,95
2024-12-09 14:23:56,528,94
2024-12-09 14:23:57,527,95
2024-12-09 14:23:58,527,95
2024-12-09 14:23:59,527,95
2024-12-09 14:24:00,527,95
2024-12-09 14:24:01,527,95
2024-12-09 14:24:02,527,95
2024-12-09 14:24:03,527,95
2024-12-09 14:24:04,527,95
2024-12-09 14:24:05,527,95
2024-12-09 14:24:06,527,95
2024-12-09 14:24:07,527,95
2024-12-09 14:24:08,527,95
2024-12-09 14:24:09,527,95
2024-12-09 14:24:10,527,95
2024-12-09 14:24:11,527,95
2024-12-09 14:24:12,527,95
2024-12-09 14:24:13,527,95
2024-12-09 14:24:14,527,95
2024-12-09 14:24:15,527,95
2024-12-09 14:24:16,527,95
2024-12-09 14:24:17,528,94
2024-12-09 14:24:18,527,95
2024-12-09 14:24:19,528,94
2024-12-09 14:24:20,527,95
2024-12-09 14:24:21,527,95
2024-12-09 14:24:22,528,94
2024-12-09 14:24:23,527,95
2024-12-09 14:24:24,527,95
2024-12-09 14:24:25,527,95
2024-12-09 14:24:26,527,95
2024-12-09 14:24:27,527,95
2024-12-09 14:24:28,527,95
2024-12-09 14:24:29,527,95
2024-12-09 14:24:30,527,95
2024-12-09 14:24:31,527,95
2024-12-09 14:24:32,527,95
2024-12-09 14:24:33,527,95
2024-12-09 14:24:34,527,95
2024-12-09 14:24:35,527,95
2024-12-09 14:24:36,527,95
2024-12-09 14:24:37,527,95
2024-12-09 14:24:38,527,95
2024-12-09 14:24:39,527,95
2024-12-09 14:24:40,527,95
2024-12-09 14:24:41,527,95
2024-12-09 14:24:42,527,95
2024-12-09 14:24:43,527,95
2024-12-09 14:24:44,527,95
2024-12-09 14:24:45,527,95
2024-12-09 14:24:46,527,95
2024-12-09 14:24:47,527,95
2024-12-09 14:24:48,527,95
2024-12-09 14:24:49,527,95
2024-12-09 14:24:50,527,95
2024-12-09 14:24:51,527,95
2024-12-09 14:24:52,527,95
2024-12-09 14:24:53,527,95
2024-12-09 14:24:54,527,95
2024-12-09 14:24:55,528,94
2024-12-09 14:24:56,527,95
2024-12-09 14:24:57,527,95
2024-12-09 14:24:58,527,95
2024-12-09 14:25:00,527,95
2024-12-09 14:25:01,529,94
2024-12-09 14:25:02,527,95
2024-12-09 14:25:03,527,95
